% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
4.383	1	1	439	4	1	14	1527	14	1527
4.39	1	1	440	1	1	0	0	14	1527
4.396	1	1	440	7	1	14	1527	14	1527
4.397	1	1	440	8	1	14	1527	14	1527
4.398	1	1	440	9	1	14	1527	14	1527
4.411	1	1	442	2	1	14	1527	14	1527
4.412	1	1	442	3	1	14	1527	14	1527
4.413	1	1	442	4	1	14	1527	14	1527
4.426	1	1	443	7	1	14	1527	14	1527
4.427	1	1	443	8	1	14	1527	14	1527
4.428	1	1	443	9	1	14	1527	14	1527
4.441	1	1	445	2	1	14	1527	14	1527
4.442	1	1	445	3	1	14	1527	14	1527
4.443	1	1	445	4	1	14	1527	14	1527
4.456	1	1	446	7	1	14	1527	14	1527
4.457	1	1	446	8	1	14	1527	14	1527
4.458	1	1	446	9	1	14	1527	14	1527
4.471	1	1	448	2	1	14	1527	14	1527
4.472	1	1	448	3	1	14	1527	14	1527
4.473	1	1	448	4	1	14	1527	14	1527
4.486	1	1	449	7	1	14	1527	14	1527
4.487	1	1	449	8	1	14	1527	14	1527
4.488	1	1	449	9	1	14	1527	14	1527
4.489	1	1	449	10	1	14	1527	14	1527
4.496	1	1	450	7	1	0	0	14	1527
4.501	1	1	451	2	1	14	1527	14	1527
4.502	1	1	451	3	1	14	1527	14	1527
4.503	1	1	451	4	1	14	1527	14	1527
4.504	1	1	451	5	1	14	1527	14	1527
4.511	1	1	452	2	1	0	0	14	1527
4.516	1	1	452	7	1	14	1527	14	1527
4.517	1	1	452	8	1	14	1527	14	1527
4.518	1	1	452	9	1	14	1527	14	1527
4.519	1	1	452	10	1	14	1527	14	1527
4.526	1	1	453	7	1	0	0	14	1527
4.531	1	1	454	2	1	14	1527	14	1527
4.532	1	1	454	3	1	14	1527	14	1527
4.533	1	1	454	4	1	14	1527	14	1527
4.534	1	1	454	5	1	14	1527	14	1527
4.541	1	1	455	2	1	0	0	14	1527
4.546	1	1	455	7	1	14	1527	14	1527
4.547	1	1	455	8	1	14	1527	14	1527
4.548	1	1	455	9	1	14	1527	14	1527
4.549	1	1	455	10	1	14	1527	14	1527
4.556	1	1	456	7	1	0	0	14	1527
4.561	1	1	457	2	1	14	1527	14	1527
4.562	1	1	457	3	1	14	1527	14	1527
4.563	1	1	457	4	1	14	1527	14	1527
4.564	1	1	457	5	1	14	1527	14	1527
4.571	1	1	458	2	1	0	0	14	1527
4.576	1	1	458	7	1	14	1527	14	1527
4.577	1	1	458	8	1	14	1527	14	1527
4.591	1	1	460	2	1	14	1527	14	1527
4.592	1	1	460	3	1	14	1527	14	1527
4.606	1	1	461	7	1	14	1527	14	1527
4.607	1	1	461	8	1	14	1527	14	1527
4.621	1	1	463	2	1	14	1527	14	1527
4.622	1	1	463	3	1	14	1527	14	1527
4.636	1	1	464	7	1	14	1527	14	1527
4.637	1	1	464	8	1	14	1527	14	1527
4.651	1	1	466	2	1	14	1527	14	1527
4.652	1	1	466	3	1	14	1527	14	1527
4.666	1	1	467	7	1	14	1527	14	1527
4.667	1	1	467	8	1	14	1527	14	1527
4.668	1	1	467	9	1	14	1527	14	1527
4.675	1	1	468	6	1	0	0	14	1527
4.681	1	1	469	2	1	14	1527	14	1527
4.682	1	1	469	3	1	14	1527	14	1527
4.696	1	1	470	7	1	14	1527	14	1527
4.697	1	1	470	8	1	14	1527	14	1527
4.698	1	1	470	9	1	14	1527	14	1527
4.705	1	1	471	6	1	0	0	14	1527
4.711	1	1	472	2	1	14	1527	14	1527
